station,region,timestamp,temperature,humidity,pressure,wind_speed
Station Marseille,Provence-Alpes-Côte d'Azur,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Paris,Île-de-France,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Niort,Nouvelle-Aquitaine,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Calais,Hauts-de-France,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Toulon,Provence-Alpes-Côte d'Azur,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Dunkerque,Hauts-de-France,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Toulouse,Occitanie,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Poitiers,Nouvelle-Aquitaine,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Lyon,Auvergne-Rhône-Alpes,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Lille,Hauts-de-France,2025-06-19 20:00:00,34.0,24.0,1013.0,10.0
Station Calais,Hauts-de-France,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Dunkerque,Hauts-de-France,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Toulon,Provence-Alpes-Côte d'Azur,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Lille,Hauts-de-France,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Paris,Île-de-France,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Niort,Nouvelle-Aquitaine,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Toulouse,Occitanie,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Lyon,Auvergne-Rhône-Alpes,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Poitiers,Nouvelle-Aquitaine,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Marseille,Provence-Alpes-Côte d'Azur,2025-06-19 17:00:00,34.0,23.0,1013.0,9.0
Station Niort,Nouvelle-Aquitaine,2025-06-19 14:00:00,32.0,26.0,1013.0,11.0
Station Calais,Hauts-de-France,2025-06-19 14:00:00,32.0,26.0,1013.0,11.0
Station Toulon,Provence-Alpes-Côte d'Azur,2025-06-19 14:00:00,32.0,26.0,1013.0,11.0
Station Lille,Hauts-de-France,2025-06-19 14:00:00,32.0,26.0,1013.0,11.0
